,country,rank,rating,games,birth_year,ranking_year
14,GER,73.83333333333333,2642.8333333333335,17.833333333333332,1980.6666666666667,2007.0
15,HUN,18.166666666666668,2714.9166666666665,10.666666666666666,1977.0,2007.0
16,IND,26.583333333333332,2711.6666666666665,14.0,1978.6666666666667,2007.0
17,ISR,58.1578947368421,2662.3684210526317,16.63157894736842,1974.2631578947369,2007.0
18,KAZ,94.5,2629.0,9.25,1962.5,2007.0
19,LAT,87.0,2630.5,11.5,1976.0,2007.0
20,MDA,59.75,2650.25,20.0,1971.0,2007.0
21,NED,50.2,2660.866666666667,22.733333333333334,1972.7333333333333,2007.0
22,NOR,19.75,2701.75,20.5,1990.0,2007.0
23,POL,66.625,2646.125,20.625,1977.375,2007.0
24,ROM,60.833333333333336,2656.3333333333335,18.833333333333332,1975.5,2007.0
25,ROU,71.0,2649.5,10.0,1975.5,2007.0
26,RUS,50.52272727272727,2670.9545454545455,16.636363636363637,1976.4545454545455,2007.0
27,SIN,93.0,2634.0,0.0,1978.0,2007.0
28,SLO,64.75,2646.5,10.0,1953.0,2007.0
29,SUI,45.6,2664.0,19.0,1963.8,2007.0
30,SVK,56.5,2654.0,27.5,1978.0,2007.0
31,TJK,85.0,2637.0,46.0,1978.0,2007.0
32,TUR,85.5,2633.5,21.25,1959.0,2007.0
33,UKR,46.54054054054054,2674.162162162162,22.45945945945946,1981.8108108108108,2007.0
34,USA,50.705882352941174,2664.1176470588234,17.823529411764707,1973.8235294117646,2007.0
35,UZB,29.0,2683.0,12.75,1979.0,2007.0
0,ARM,42.38461538461539,2690.153846153846,19.846153846153847,1978.7692307692307,2008.0
1,AZE,26.0,2716.0,24.571428571428573,1986.0,2008.0
2,BEL,98.0,2633.0,69.0,1977.0,2008.0
3,BIH,62.714285714285715,2657.5714285714284,23.0,1971.5714285714287,2008.0
4,BRA,97.5,2633.0,16.5,1978.0,2008.0
5,BUL,38.5,2701.285714285714,20.5,1974.7142857142858,2008.0
6,CHN,39.85,2687.15,27.55,1984.8,2008.0
7,CUB,25.25,2703.25,16.0,1983.0,2008.0
8,CZE,65.75,2657.75,23.5,1985.0,2008.0
9,DEN,76.33333333333333,2647.6666666666665,19.0,1973.0,2008.0
10,ENG,42.25,2690.75,18.0,1968.0,2008.0
11,ESP,32.25,2704.375,23.375,1977.0,2008.0
12,FIN,87.5,2639.0,27.0,1985.0,2008.0
13,FRA,51.8421052631579,2670.5789473684213,15.052631578947368,1980.3684210526317,2008.0
14,GEO,74.5,2645.75,12.625,1982.5,2008.0
15,GER,77.6,2645.7,26.8,1976.0,2008.0
16,GRE,95.0,2628.0,31.0,1964.0,2008.0
17,HUN,35.285714285714285,2698.714285714286,14.642857142857142,1978.142857142857,2008.0
18,IND,36.61538461538461,2709.076923076923,14.307692307692308,1979.0,2008.0
19,ISR,63.083333333333336,2661.7916666666665,21.875,1976.0,2008.0
20,ITA,87.0,2640.0,10.0,1992.0,2008.0
21,KAZ,92.33333333333333,2635.3333333333335,9.333333333333334,1973.3333333333333,2008.0
